Leetcode_completed,Project_1_score,Project_2_score,Project_3_score,Total_full_stack_projects,Years_of_experience,No_of_certifications,CGPA,Non_IT_student,Communication_Level,Salary
116,5.99,8.29,7.77,7,2.0,2,9.68,0,beginner,1219498
82,5.02,5.08,5.57,5,1.5,5,9.95,0,expert,1042685
253,1.39,6.2,6.46,3,1.0,0,6.98,0,fluent,880385
141,1.16,4.78,0.14,8,2.0,4,9.95,1,exceptional,1017124
342,1.54,4.78,1.62,4,1.5,2,5.78,1,fluent,866533
303,1.72,7.68,9.85,9,1.0,2,6.27,0,expert,1229921
151,6.38,6.29,0.76,5,1.0,3,5.45,0,beginner,788340
153,7.41,6.33,6.79,8,0.5,2,6.36,1,exceptional,1030148
82,5.3,4.5,1.76,6,2.0,1,8.84,0,beginner,890832
146,8.29,5.31,7.17,4,0.5,0,9.26,0,exceptional,1023923
25,9.91,7.46,7.06,1,1.0,0,8.89,0,beginner,895578
263,8.2,8.26,2.34,3,0.5,0,8.16,0,beginner,1012688
314,6.95,6.97,2.7,1,0.5,4,7.57,0,expert,1058695
120,5.32,9.24,6.55,2,1.5,5,8.54,0,fluent,1030083
150,4.49,8.2,3.9,9,0.5,4,6.95,1,beginner,970352
142,0.84,5.62,1.95,2,1.0,1,9.21,0,exceptional,736919
72,3.99,6.71,7.32,3,0.5,5,8.39,0,fluent,881906
113,9.1,9.26,1.54,5,2.0,2,8.49,1,fluent,1128645
261,8.08,6.19,8.56,2,1.5,4,7.68,1,beginner,1135779
296,2.16,8.25,5.15,9,1.0,5,9.43,1,beginner,1310948
213,4.67,6.89,1.06,0,0.5,2,6.26,1,beginner,728297
216,8.17,5.52,6.94,0,2.0,5,6.91,0,fluent,996882
93,0.67,2.42,5.19,8,1.0,2,8.89,1,expert,847260
302,3.87,4.26,2.98,8,0.5,5,7.46,0,beginner,1104329
271,8.52,9.68,4.23,4,1.5,4,9.45,1,fluent,1228340
100,4.04,6.58,2.98,8,0.5,4,6.73,1,fluent,923664
178,0.78,5.64,2.63,10,1.0,1,6.85,1,exceptional,951189
168,5.43,9.33,1.64,6,1.0,3,9.44,0,beginner,1090448
110,8.62,5.87,3.63,8,1.0,0,7.32,1,expert,1004629
209,5.9,5.26,2.51,6,2.0,4,7.58,1,exceptional,1082401
309,2.26,7.59,6.83,8,0.5,4,6.66,1,beginner,1152150
244,3.84,7.13,6.84,1,0.5,2,6.38,0,exceptional,913750
93,4.5,1.93,5.02,10,0.5,3,8.28,0,beginner,959413
71,5.79,4.71,7.78,10,1.5,4,5.6,1,exceptional,1019114
118,7.59,4.73,8.41,7,2.0,5,9.4,0,expert,1227665
262,0.99,3.78,5.8,6,2.0,3,8.9,1,exceptional,1146136
228,8.9,5.17,6.19,5,1.5,0,5.95,0,exceptional,1063039
242,0.12,4.13,2.83,4,2.0,5,8.47,1,exceptional,994887
63,3.7,1.99,8.95,3,1.5,2,8.01,0,beginner,793815
124,0.27,4.12,0.24,6,1.0,1,5.92,1,beginner,619070
313,3.93,0.72,3.49,2,1.0,5,6.37,0,expert,850849
278,5.26,5.76,7.22,7,2.0,0,7.04,0,exceptional,1161968
246,5.12,8.54,0.8,1,1.0,5,8.5,1,fluent,932721
47,1.66,7.25,1.83,0,1.0,3,8.19,1,exceptional,659009
274,6.46,3.6,5.89,10,1.0,3,7.66,0,fluent,1219649
34,0.45,0.87,5.6,1,0.5,0,8.84,1,fluent,554127
270,7.62,2.02,7.39,8,1.0,3,8.79,1,exceptional,1232769
349,9.47,5.45,8.13,4,0.5,5,8.09,1,fluent,1225639
124,3.4,2.07,1.29,10,1.5,1,8.93,1,fluent,951335
314,5.17,5.44,0.18,7,1.5,5,6.67,0,exceptional,1073772
204,3.79,2.32,6.9,2,1.5,1,9.41,1,beginner,922137
247,0.07,8.49,3.01,6,1.5,3,8.07,0,exceptional,1046099
274,3.86,3.97,6.26,1,1.5,5,9.11,0,expert,1055682
171,7.92,2.46,1.51,7,1.0,3,7.73,1,fluent,929428
120,5.96,8.12,4.69,6,1.0,1,6.09,1,expert,946200
281,1.01,3.43,5.04,4,1.0,3,7.71,0,fluent,940926
349,8.47,1.11,5.85,10,1.5,4,6.86,1,beginner,1270063
28,5.31,5.7,5.13,3,1.5,2,8.49,1,fluent,1421002
40,8.42,5.82,4.96,0,0.5,5,7.38,0,exceptional,828700
304,5.8,7.15,3.33,4,2.0,4,9.18,0,fluent,1191838
271,5.6,2.4,0.71,8,1.0,3,8.39,0,expert,1071174
282,1.05,4.44,0.9,9,2.0,3,8.42,1,exceptional,1090632
184,1.67,2.82,4.34,3,1.5,2,6.09,1,expert,829878
176,9.72,0.81,3.56,8,1.5,3,9.92,0,beginner,1144081
202,2.28,8.77,5.16,1,1.5,2,9.21,0,expert,971384
187,9.77,7.29,3.05,3,2.0,5,8.95,1,expert,1160459
57,5.32,3.01,6.88,8,0.5,1,6.65,1,expert,872365
203,1.36,5.99,8.64,3,1.5,2,7.68,1,exceptional,987181
125,0.99,2.01,2.99,4,0.5,2,5.69,0,beginner,593495
292,2.09,8.9,1.93,10,0.5,4,7.69,1,beginner,1167457
347,9.26,1.15,1.16,7,1.0,3,5.73,1,beginner,1031134
89,4.14,0.04,6.16,0,2.0,5,7.77,0,expert,746571
192,3.95,5.02,4.44,0,1.5,1,8.24,1,exceptional,825055
67,3.13,5.83,1.88,8,0.5,0,6.95,0,exceptional,770471
68,1.47,5.79,6.53,8,2.0,2,7.49,1,exceptional,979487
309,4.88,0.55,1.48,3,2.0,0,9.38,0,expert,979394
36,1.3,3.14,5.54,1,1.5,3,5.54,0,beginner,587546
119,8.35,4.99,5.27,8,1.0,2,8.96,0,expert,1118212
326,3.7,2.17,7.34,3,1.0,0,5.85,1,exceptional,916969
277,3.75,8.73,0.55,5,0.5,4,5.18,1,expert,898430
266,4.74,0.87,8.88,0,1.0,0,5.93,1,fluent,785784
59,4.44,4.87,7.03,8,1.0,4,8.83,1,beginner,1018930
239,9.95,6.91,2.16,4,1.0,1,7.03,0,beginner,981628
114,5.45,2.62,1.83,2,2.0,3,9.36,1,exceptional,873210
288,0.88,6.24,4.32,3,1.5,5,7.62,1,expert,990425
117,6.07,8.29,8.18,0,2.0,0,5.11,0,exceptional,839131
114,1.52,1.9,8.43,8,2.0,2,8.58,0,expert,1028642
139,0.31,9.17,5.2,7,1.5,3,5.55,0,fluent,931059
129,9.71,5.54,8.61,3,2.0,0,8.95,0,beginner,1111536
220,7.74,2.99,0.05,1,0.5,2,5.84,1,beginner,704892
338,9.8,4.31,0.35,8,0.5,2,6.73,0,expert,1135073
138,4.78,3.12,9.12,3,2.0,5,8.81,1,beginner,955808
99,5.32,7.25,7.75,8,1.0,5,9.77,1,expert,1215015
241,1.68,7.96,4.51,9,2.0,2,6.86,0,exceptional,1130667
301,2.47,8.33,7.54,2,1.0,5,9.15,0,fluent,1171677
273,8.39,9.86,9.56,6,2.0,2,5.95,0,expert,1325103
188,3.56,7.91,7.72,6,0.5,0,9.04,0,fluent,1073960
216,8.27,6.01,8.42,9,1.0,1,8.29,0,exceptional,1305172
251,7.09,3.39,7.61,3,0.5,5,5.96,1,exceptional,1005165
201,1.77,5.45,1.68,1,2.0,4,6.51,0,exceptional,808788
123,5.07,0.41,8.34,10,1.5,4,5.66,1,expert,969576
60,6.77,7.45,1.95,8,1.0,4,6.91,0,fluent,956044
120,2.35,4.46,8.93,3,1.0,1,6.02,1,fluent,749888
176,8.31,0.2,4.59,7,2.0,2,8.22,1,beginner,1006789
175,5.45,0.63,6.77,1,2.0,2,9.97,1,expert,929898
214,1.65,3.87,4.97,7,1.0,3,5.06,0,beginner,899988
248,5.83,5.83,0.94,10,1.5,4,7.7,0,beginner,1175495
61,10.0,4.64,2.91,9,2.0,4,7.87,0,expert,1113656
292,1.51,6.19,9.84,4,2.0,2,9.57,1,beginner,1205157
207,8.17,4.8,9.61,6,2.0,4,7.53,1,beginner,1195342
37,2.07,6.62,3.2,6,1.5,2,7.72,0,beginner,779469
303,7.82,2.19,9.96,8,1.0,2,7.36,0,exceptional,1232136
241,7.35,1.13,8.46,2,0.5,5,6.34,1,expert,944222
310,3.0,5.96,6.11,9,2.0,2,5.28,1,exceptional,1187540
297,3.26,4.85,0.4,3,1.5,0,7.04,0,beginner,872375
86,7.93,0.27,9.01,9,1.0,0,5.26,0,beginner,882147
108,4.61,3.8,5.57,3,1.0,0,7.75,0,exceptional,837153
241,7.31,1.06,8.68,9,1.5,0,6.54,1,beginner,1147608
211,1.48,5.31,8.34,4,2.0,1,7.67,1,expert,1010904
43,8.53,3.96,8.33,5,0.5,3,5.67,0,fluent,886155
201,7.11,6.13,6.98,2,2.0,3,9.66,0,exceptional,1170195
124,9.07,8.06,2.91,3,1.0,2,9.47,0,fluent,1011520
257,1.32,3.0,3.36,2,0.5,4,5.95,0,fluent,735694
100,5.93,9.62,3.08,1,2.0,0,6.72,0,fluent,790947
289,5.99,5.36,0.2,9,0.5,3,8.07,1,exceptional,1120940
308,3.53,6.18,5.83,8,1.5,3,5.48,0,beginner,1120519
230,4.58,6.81,6.99,0,2.0,0,6.77,1,expert,911456
247,0.38,6.67,8.54,1,1.0,1,6.26,1,beginner,833169
76,7.46,5.11,1.4,7,1.0,1,9.58,1,expert,912999
168,5.49,4.29,5.44,6,0.5,3,9.26,1,beginner,1030932
93,0.58,0.54,0.08,0,1.5,1,7.9,1,fluent,499185
123,6.81,0.22,0.95,4,2.0,5,7.6,1,fluent,830820
49,4.67,3.58,0.54,9,1.5,0,9.65,1,expert,880342
77,0.34,3.34,7.25,5,1.5,3,9.66,1,exceptional,916984
175,9.7,3.88,0.81,4,0.5,0,9.85,0,beginner,938527
168,9.49,1.38,7.16,3,0.5,1,5.63,0,fluent,844529
81,5.13,7.38,2.5,0,2.0,0,5.8,0,expert,712844
63,0.94,8.57,8.78,6,1.0,1,8.38,0,beginner,941374
133,7.55,9.39,8.13,8,2.0,1,7.71,0,expert,1243180
205,4.92,4.92,9.58,5,1.5,0,5.09,1,exceptional,959139
66,3.02,7.01,8.84,2,0.5,1,5.31,1,exceptional,740897
210,4.91,8.56,9.33,9,1.5,5,9.44,1,beginner,1383161
247,5.22,4.18,8.59,3,0.5,2,9.34,1,exceptional,1079405
146,5.63,3.09,6.93,9,1.0,0,6.79,1,beginner,954028
157,4.41,9.37,1.7,4,1.5,2,9.46,0,beginner,989474
187,6.06,5.16,2.72,0,0.5,0,7.97,0,exceptional,746705
239,9.19,4.97,2.13,4,2.0,1,9.03,1,expert,1085595
245,3.62,1.78,6.04,0,2.0,1,7.14,0,expert,849799
259,7.26,1.08,5.04,8,2.0,3,5.57,0,beginner,1072495
170,8.94,8.42,8.67,6,1.5,5,7.17,0,fluent,1242361
263,4.56,6.14,9.53,2,0.5,3,7.29,0,beginner,1051143
100,4.43,3.26,4.05,8,0.5,2,7.75,0,expert,904096
33,6.02,1.92,5.06,1,0.5,1,5.53,1,beginner,518587
98,5.91,5.55,9.72,6,1.5,3,9.96,0,expert,1151327
277,8.07,5.84,2.76,8,0.5,1,6.22,0,exceptional,1093145
254,4.76,2.07,7.92,5,1.0,0,5.99,1,beginner,906937
31,9.96,8.51,2.25,9,1.5,3,7.63,1,beginner,1080014
198,0.59,0.84,6.81,4,1.0,2,7.69,1,exceptional,840224
165,0.03,3.56,2.54,6,1.0,3,7.2,1,exceptional,806512
192,6.4,6.8,8.84,5,2.0,1,8.86,1,fluent,1171332
194,2.98,2.74,5.61,4,1.5,4,7.58,1,exceptional,949277
307,2.4,8.28,1.86,1,0.5,4,8.05,1,fluent,951615
146,3.12,7.4,2.24,7,1.0,5,8.62,1,exceptional,995847
218,2.56,7.89,4.94,6,1.5,1,5.13,0,expert,952968
29,0.31,1.19,9.62,5,0.5,0,7.85,1,beginner,680980
53,9.72,1.41,7.7,4,2.0,3,9.42,1,exceptional,1034519
189,2.21,2.86,4.88,4,1.5,4,5.09,0,expert,811349
160,7.34,5.18,3.38,8,1.5,0,7.03,1,exceptional,1034371
345,7.63,7.48,5.49,0,1.5,1,9.63,1,beginner,1143604
169,9.29,8.37,7.48,8,0.5,0,6.77,1,exceptional,1137378
241,0.31,7.04,7.84,5,1.0,1,7.29,1,exceptional,1020159
325,8.72,9.29,3.25,3,1.0,5,9.91,0,beginner,1297654
156,5.27,7.39,7.21,9,1.5,3,6.0,0,exceptional,1152985
316,6.33,3.06,6.58,6,1.5,0,5.33,1,beginner,1042251
94,6.44,2.65,9.59,8,0.5,3,9.3,0,fluent,1069186
276,8.2,6.96,9.31,4,2.0,0,9.34,0,exceptional,1297327
299,3.33,1.93,7.89,4,1.5,1,7.36,0,expert,1041183
206,7.33,0.93,7.23,7,1.5,1,7.57,0,exceptional,1085251
191,5.29,5.32,2.74,6,2.0,0,9.18,0,beginner,1037845
115,7.93,8.22,8.46,7,1.5,5,8.69,0,beginner,1231649
226,9.91,1.01,4.28,10,1.0,1,6.33,1,expert,1112643
43,2.01,7.92,2.72,9,1.5,2,5.08,1,expert,790472
63,9.95,8.12,3.84,1,1.0,2,7.4,0,beginner,853705
150,0.9,4.82,8.36,8,0.5,3,9.29,0,fluent,1052562
197,0.02,0.57,1.49,2,0.5,2,9.48,0,fluent,665930
165,0.44,1.75,4.56,5,1.0,2,9.78,1,beginner,883972
266,3.42,7.07,4.92,5,1.0,5,9.4,1,fluent,1097393
244,6.33,7.12,0.37,1,2.0,5,7.9,1,expert,987820
150,0.69,8.98,1.96,6,1.0,4,7.22,1,fluent,910101
82,0.06,5.83,8.27,8,1.0,4,8.87,1,expert,993179
172,9.37,1.24,8.31,9,1.5,5,8.7,1,exceptional,1264747
341,8.22,1.21,2.92,10,2.0,4,7.69,0,expert,1290202
25,8.09,7.21,8.75,0,1.0,5,5.44,1,exceptional,830758
214,8.84,1.84,7.72,7,1.0,4,9.63,1,expert,1290169
215,7.0,3.28,4.18,1,1.0,1,7.28,1,expert,848108
336,1.04,4.87,7.48,0,1.5,5,6.82,0,fluent,983356
141,3.99,0.25,9.61,7,1.5,3,8.15,1,expert,996993
158,7.23,2.49,4.59,1,1.5,3,8.37,0,beginner,872917
82,2.8,4.08,2.38,5,0.5,5,6.05,0,exceptional,727787
68,6.87,2.8,9.42,5,1.5,2,9.18,1,exceptional,1039705
197,0.24,1.36,6.04,4,1.0,3,6.45,1,expert,748322
184,3.06,7.28,1.05,7,1.5,2,5.93,1,beginner,871002
197,5.49,8.13,5.73,2,1.5,3,7.03,0,expert,1022161
341,6.32,2.57,5.01,9,2.0,0,8.65,1,expert,1269698
327,5.77,7.74,8.56,3,1.0,0,9.83,0,fluent,1260110
173,6.98,3.86,5.31,6,1.5,5,9.05,0,expert,1142071
104,0.06,5.07,2.55,6,0.5,3,9.7,1,expert,856492
237,1.01,8.56,6.76,7,2.0,1,5.7,1,fluent,1041408
227,8.69,7.5,5.43,1,1.5,2,5.36,1,fluent,940880
276,6.82,8.05,2.33,10,2.0,3,7.79,0,beginner,1314934
253,1.13,1.37,5.74,1,2.0,5,6.45,1,fluent,819772
188,8.42,0.7,8.22,3,0.5,2,9.14,0,exceptional,1031962
251,2.42,8.93,0.29,9,0.5,4,8.36,1,exceptional,1118479
171,4.78,3.88,6.31,8,0.5,5,9.85,0,beginner,1107769
44,1.45,2.88,3.5,9,1.0,3,6.27,1,expert,745322
71,7.1,7.25,2.93,8,2.0,1,7.43,1,beginner,989020
257,6.67,8.36,3.93,3,1.5,4,7.51,0,fluent,1118384
329,2.11,8.62,3.42,8,0.5,5,6.2,0,expert,1132943
38,8.63,3.16,8.32,2,0.5,3,7.95,1,beginner,834792
167,4.01,8.52,2.75,4,2.0,0,7.22,0,beginner,920627
25,2.93,0.41,7.33,9,2.0,3,7.23,0,exceptional,922341
78,1.52,0.5,0.94,8,2.0,0,6.81,0,beginner,691674
283,2.66,6.24,9.51,5,1.5,0,5.08,0,expert,1034848
168,0.22,0.63,6.22,2,1.0,5,7.61,1,beginner,753640
36,5.83,3.25,7.07,9,1.0,3,6.68,0,beginner,927618
248,8.42,6.73,2.98,8,0.5,3,5.01,1,fluent,1041298
296,5.49,3.37,4.12,5,1.0,0,6.54,1,beginner,906871
180,2.19,1.8,2.24,3,1.5,2,6.39,1,expert,723181
32,0.34,2.81,9.33,3,1.0,4,6.97,0,exceptional,720959
146,2.15,4.58,4.88,7,1.5,1,5.66,1,exceptional,854012
188,4.16,4.75,6.3,6,0.5,3,7.54,1,exceptional,975807
114,7.6,7.83,7.34,0,2.0,4,8.46,1,exceptional,1015520
160,1.88,7.5,3.71,5,1.5,4,8.15,1,fluent,1009600
210,7.2,4.57,7.2,7,2.0,2,9.02,1,expert,1229799
340,8.67,8.46,6.76,2,0.5,4,7.26,0,fluent,1174576
202,4.54,1.14,7.06,8,1.5,3,7.6,1,exceptional,1061559
52,8.21,2.55,4.89,9,1.5,5,9.05,0,fluent,1057366
244,5.55,8.28,3.83,1,1.0,5,7.14,1,beginner,940267
65,6.37,3.78,2.22,5,1.5,4,8.51,1,expert,860766
252,5.26,9.81,8.25,0,0.5,3,7.17,0,beginner,1013507
216,4.63,4.66,6.08,10,2.0,3,7.09,0,fluent,1195248
169,2.35,7.92,4.44,1,1.5,0,8.8,1,beginner,852237
225,3.03,4.02,9.44,4,0.5,2,5.87,1,fluent,909981
236,2.9,4.25,0.48,0,0.5,1,6.69,1,fluent,631198
244,5.63,3.83,8.5,7,1.5,0,6.12,1,expert,1049819
264,1.2,7.19,9.98,0,1.0,1,6.8,1,expert,892658
70,9.17,5.48,8.87,8,1.5,3,6.15,0,expert,1071130
59,7.21,9.44,8.1,9,1.5,5,7.9,1,exceptional,1239281
277,4.01,2.51,3.74,10,1.0,0,8.99,1,expert,1169155
106,1.59,1.01,2.31,2,0.5,4,8.93,0,beginner,635308
280,8.82,3.93,7.35,1,1.5,4,6.82,0,expert,1062892
221,8.24,6.17,3.05,0,1.0,1,9.94,1,expert,981248
327,7.22,8.61,1.76,8,2.0,3,7.97,0,expert,1314871
34,2.72,3.46,7.87,3,2.0,5,7.0,0,fluent,818992
336,4.02,6.54,3.13,0,1.0,1,9.18,0,fluent,974459
310,1.03,3.5,9.14,0,0.5,5,8.65,1,expert,960340
266,1.89,6.17,8.41,6,1.0,2,8.75,1,fluent,1128669
275,7.83,8.85,8.48,1,0.5,5,5.98,1,fluent,1083513
29,7.15,2.31,7.72,6,2.0,4,7.34,0,exceptional,1500000
143,5.93,4.04,8.81,6,1.5,0,9.31,1,beginner,1073639
313,8.96,9.93,8.06,9,1.0,0,7.52,1,fluent,1382381
89,5.83,8.69,6.03,8,2.0,0,8.42,0,beginner,1121646
170,4.67,5.65,2.96,6,1.5,5,7.94,1,fluent,1035735
248,3.4,5.17,8.88,0,2.0,4,9.21,0,expert,1069007
263,9.4,2.85,8.41,7,1.0,5,6.42,0,fluent,1198659
201,0.83,5.17,4.73,7,1.0,3,7.88,0,fluent,971510
291,9.31,8.48,0.39,3,1.5,4,5.62,0,beginner,1052376
306,8.27,6.85,6.39,7,1.0,4,8.45,1,expert,1323461
87,1.3,2.9,0.51,3,2.0,5,8.66,1,exceptional,729461
241,5.65,2.01,9.26,7,1.5,5,5.21,1,beginner,1075946
339,8.67,2.65,9.62,4,1.5,0,8.38,0,expert,1259992
307,5.72,1.7,1.89,3,2.0,4,7.07,1,expert,1002075
201,9.07,0.96,6.76,5,0.5,0,5.62,1,beginner,856749
122,9.43,4.19,0.92,1,1.5,3,7.1,0,fluent,785808
129,4.22,1.13,7.3,1,0.5,2,5.97,0,expert,712719
123,3.77,1.72,3.47,1,2.0,0,7.08,1,exceptional,715254
335,9.36,5.47,6.81,8,2.0,5,6.92,0,fluent,1393717
30,6.75,1.65,3.73,9,1.5,1,8.69,1,beginner,873683
221,1.16,0.64,1.46,2,1.0,2,8.87,0,beginner,715298
157,0.42,3.17,4.06,9,1.5,3,8.04,0,beginner,935093
283,5.65,2.2,1.13,3,1.0,5,5.11,1,beginner,850488
47,9.3,5.15,5.77,9,0.5,2,9.66,0,exceptional,1089783
77,8.44,1.02,0.41,7,1.0,5,8.43,0,exceptional,950106
189,6.76,7.52,5.27,3,1.5,0,5.17,0,expert,907343
226,1.39,9.06,8.86,10,1.0,5,9.09,1,exceptional,1313860
107,2.54,7.43,8.38,9,2.0,3,6.0,1,beginner,1069623
169,8.76,5.33,8.83,9,0.5,1,7.9,1,exceptional,1209780
109,1.83,8.61,9.22,6,2.0,0,7.33,0,fluent,992507
102,2.78,6.95,1.05,4,2.0,0,7.1,0,fluent,775193
25,1.3,0.11,1.29,8,2.0,3,9.45,0,expert,832212
75,6.76,3.94,5.57,3,2.0,3,7.19,0,beginner,854699
197,9.44,8.51,8.94,2,1.0,2,5.38,1,exceptional,1074896
229,2.69,3.46,9.74,1,2.0,1,9.73,1,expert,1008279
284,4.75,0.35,0.46,0,1.0,5,9.6,0,expert,831601
312,6.34,7.46,3.56,10,2.0,2,8.42,1,exceptional,1362760
58,9.99,8.02,2.13,5,1.5,5,7.34,1,expert,968584
119,1.05,1.61,7.56,9,2.0,5,5.46,1,beginner,916722
96,4.99,5.37,6.4,1,1.5,5,8.95,0,exceptional,935697
63,3.85,1.92,1.2,7,1.0,2,5.38,1,fluent,642220
178,8.66,7.19,4.84,5,0.5,0,5.34,1,fluent,955232
274,4.76,2.72,6.85,4,1.0,3,7.69,1,exceptional,1034734
186,1.11,3.16,7.79,1,0.5,0,5.8,1,expert,690522
142,6.34,8.45,0.2,6,0.5,1,5.04,1,expert,834151
283,7.71,4.76,8.9,1,2.0,2,7.12,0,fluent,1129184
330,0.03,6.7,5.69,4,0.5,1,5.69,1,fluent,879732
292,8.59,4.02,8.12,1,1.0,3,5.8,1,beginner,952344
78,1.86,2.98,8.08,10,2.0,3,5.38,0,expert,986675
260,5.52,6.25,1.9,9,0.5,4,6.03,1,beginner,1062082
246,4.16,1.55,1.1,10,1.0,1,8.58,0,fluent,1034668
275,7.2,3.73,7.21,10,0.5,0,9.04,0,fluent,1252720
337,3.71,2.09,1.56,1,0.5,1,7.26,0,fluent,791428
136,8.7,6.96,8.5,6,2.0,2,7.53,0,fluent,1182930
279,7.3,9.44,7.26,8,2.0,3,5.16,1,beginner,1232235
327,6.48,9.96,8.42,4,1.0,3,5.35,1,fluent,1187465
231,7.96,4.5,2.99,6,2.0,1,6.29,0,exceptional,1068224
253,7.54,2.53,3.17,3,2.0,1,7.72,1,expert,990910
90,0.36,4.43,6.71,1,1.5,5,8.7,0,fluent,799457
99,3.95,8.47,0.31,2,1.5,1,8.03,1,expert,778698
127,9.31,2.06,7.26,1,1.0,5,6.96,1,fluent,898151
216,1.26,9.52,8.36,4,2.0,2,5.59,0,beginner,1017068
276,7.37,3.42,4.15,5,1.0,2,8.9,1,expert,1134410
250,9.75,9.86,7.65,6,1.5,0,6.82,0,beginner,1209656
318,0.52,8.39,1.75,2,1.5,1,8.68,1,fluent,981586
330,6.82,8.09,3.22,3,1.5,0,7.56,1,exceptional,1091858
122,4.68,3.18,9.74,7,1.0,4,8.69,1,exceptional,1089071
310,5.79,0.09,9.86,3,2.0,2,9.54,0,exceptional,1208492
332,0.85,3.82,5.13,6,0.5,3,9.61,0,exceptional,1099866
273,0.43,3.02,9.34,5,2.0,5,7.68,0,exceptional,1160890
190,6.67,0.37,5.23,6,1.0,4,7.56,1,beginner,975452
54,8.23,5.05,2.92,0,1.5,3,6.33,0,exceptional,739199
271,7.82,4.03,2.67,2,0.5,4,9.68,0,fluent,1016554
130,5.44,6.35,9.3,5,1.0,0,7.29,0,beginner,974168
75,1.0,6.21,1.72,2,1.5,0,5.64,1,beginner,551584
105,6.88,1.21,5.8,6,1.0,5,7.16,1,exceptional,906178
157,2.42,9.77,5.56,8,0.5,2,5.64,1,expert,998874
309,9.11,1.87,7.4,2,1.5,5,7.51,1,fluent,1106674
162,8.38,4.45,4.99,0,2.0,3,7.81,0,beginner,909759
208,7.09,4.88,2.72,9,1.0,4,6.69,1,fluent,1076389
297,9.49,8.13,1.69,5,0.5,5,5.36,0,expert,1091970
93,0.31,0.99,6.21,0,2.0,1,9.72,1,beginner,696056
58,7.36,4.29,7.19,0,0.5,1,8.87,0,fluent,770877
286,3.3,6.29,5.7,7,1.0,2,9.19,0,exceptional,1223281
77,9.06,2.15,7.38,8,0.5,5,6.83,1,beginner,974048
229,2.67,6.27,1.42,1,1.5,3,8.8,0,beginner,876828
150,7.25,9.24,8.82,8,0.5,1,7.43,0,beginner,1132897
259,8.78,9.98,5.82,4,1.0,2,6.01,0,beginner,1140011
67,0.42,0.32,1.27,7,1.5,5,5.62,0,exceptional,697653
264,3.98,2.36,4.62,6,0.5,2,6.73,1,expert,948194
135,7.62,3.1,8.45,6,0.5,3,5.69,1,expert,945490
273,4.55,3.99,8.98,3,1.5,1,9.99,0,fluent,1138843
175,2.67,2.42,2.65,1,2.0,1,5.25,1,exceptional,623482
207,2.2,2.03,7.11,4,2.0,1,7.21,0,exceptional,897051
119,1.32,9.55,1.0,10,1.5,0,7.26,0,fluent,981705
32,8.57,9.19,0.34,10,0.5,1,6.5,1,exceptional,946098
208,5.75,0.47,5.6,2,2.0,4,7.86,0,exceptional,917568
305,0.76,3.39,6.95,8,1.5,0,5.75,1,beginner,967401
219,3.83,4.05,7.96,5,1.0,5,8.92,0,beginner,1108952
219,3.68,2.39,3.4,0,0.5,0,6.66,1,beginner,657896
179,1.82,6.29,0.07,2,1.0,0,7.96,1,exceptional,706286
117,4.36,6.4,4.8,3,0.5,0,8.58,0,exceptional,859641
184,3.32,8.51,0.16,8,2.0,2,9.45,1,expert,1117558
85,3.42,7.41,0.92,10,1.0,4,9.18,0,beginner,1017416
146,7.39,5.43,3.27,5,1.0,3,8.04,1,fluent,993971
75,2.23,6.54,4.37,3,1.5,1,6.94,0,exceptional,762888
301,6.42,2.74,2.79,0,2.0,0,7.52,1,beginner,836001
29,5.71,5.93,5.82,7,2.0,3,8.84,1,expert,1024815
116,5.68,4.89,0.55,10,0.5,2,9.39,1,beginner,1020005
194,6.63,1.33,1.45,1,1.5,3,5.52,0,expert,712883
341,5.48,2.43,6.95,10,1.5,0,6.92,1,expert,1201630
46,8.79,2.92,1.42,10,0.5,5,8.88,0,exceptional,1038410
350,6.76,9.24,6.4,7,1.0,4,7.16,1,expert,1336877
25,5.47,2.3,0.55,5,0.5,3,6.66,1,expert,1053586
157,8.3,2.89,4.07,7,0.5,0,7.06,0,fluent,935978
257,6.06,3.69,1.77,5,0.5,0,8.01,1,expert,915654
36,2.91,6.64,1.1,4,1.5,1,10.0,0,fluent,799379
70,2.07,1.18,5.67,4,0.5,5,7.46,0,fluent,737968
58,1.52,9.54,9.28,9,0.5,1,6.04,0,beginner,932676
102,8.99,8.66,0.55,9,0.5,5,5.81,0,beginner,1033911
242,7.1,5.77,4.22,10,2.0,4,5.21,0,exceptional,1230173
325,9.37,6.74,7.08,7,1.0,1,7.79,1,exceptional,1290700
97,6.03,0.17,4.63,6,1.0,4,7.72,0,exceptional,910921
306,4.73,3.39,8.06,7,1.0,2,6.03,1,expert,1102350
273,0.6,7.96,1.8,7,1.0,2,8.48,0,beginner,1068424
71,6.72,0.77,9.6,6,1.5,5,8.71,0,expert,1045114
145,5.82,2.82,3.85,1,1.5,5,6.3,1,beginner,758035
238,9.9,5.85,3.42,10,0.5,1,6.72,1,expert,1159887
263,2.39,2.56,8.75,8,1.5,2,9.95,0,exceptional,1183116
80,5.31,9.34,5.64,6,1.0,3,6.87,0,beginner,988863
131,6.51,1.31,5.16,10,2.0,3,8.8,1,beginner,1091652
343,6.45,7.97,7.27,5,0.5,3,7.26,1,fluent,1229552
72,5.61,5.08,5.8,8,0.5,2,8.97,0,beginner,1022881
85,7.77,7.5,1.63,0,1.0,3,8.85,0,beginner,802690
